"Name","Symbol","Date","High","Low","Open","Close","market_billion_usd","volume_billion_usd"
"Bitcoin","BTC",2017-12-08,39242.48626197,35717.72230304,39242.48626197,36894.40532994,690.9150720928,41.83109018661
"Bitcoin","BTC",2017-12-09,37917.71414924,34900.41223702,36880.15597053,35551.95872588,665.8046398328,35.95947339907
"Bitcoin","BTC",2017-12-10,36436.42096405,35304.58007817,35538.60872998,35862.37772747,671.65255785514,28.91344058492
"Bitcoin","BTC",2017-12-11,36790.57215572,33480.64124099,35835.26550975,33560.70783776,628.57296175853,33.68393666324
"Bitcoin","BTC",2017-12-12,34017.38797859,31114.44247046,33589.52085635,33472.63174808,626.95494487853,49.90205044189
"Bitcoin","BTC",2017-12-13,37537.37115028,32475.86603066,33416.97785088,37345.12148619,699.51613869797,53.97291900762
"Bitcoin","BTC",2017-12-14,38334.32544308,35847.5936407,37389.51565087,36702.59937466,687.50942122628,43.57603285366
"Bitcoin","BTC",2017-12-15,37608.69429327,36044.44991066,36697.03129279,37334.39952553,699.36872983832,38.69973698532
"Bitcoin","BTC",2017-12-16,37408.92559512,34728.19010076,37340.14284419,35552.51714847,666.01817375346,37.92422855001
"Bitcoin","BTC",2017-12-17,39322.78021188,34864.10993969,35555.79014042,39097.86089667,732.46565989178,40.66911283787
"Bitcoin","BTC",2017-12-18,40978.36447697,38757.28412199,39016.9701778,40218.47785943,753.47106253364,43.14891467317
"Bitcoin","BTC",2017-12-19,41295.26857449,39609.4691963,40427.16992116,40406.26898673,757.02987472496,46.42014918533
"Bitcoin","BTC",2017-12-20,40516.77682766,38176.03417592,40168.69037027,38347.06322666,718.49477361153,39.21163509963
"Bitcoin","BTC",2017-12-21,39513.67016412,37439.67410798,38341.42380252,38053.50417253,713.02563175751,37.09667004676
"Bitcoin","BTC",2017-12-22,38187.26016042,35255.85491821,38099.47705463,35787.24478177,670.58944485086,36.20088727495
"Bitcoin","BTC",2017-12-23,36457.79628009,34933.06225074,35854.52922288,35615.86927002,667.40085926087,31.2072797185
"Bitcoin","BTC",2017-12-24,36059.48351685,33432.07604413,35563.13941499,35698.29644336,668.96886876975,36.66403405441
"Bitcoin","BTC",2017-12-25,35721.63963385,31295.93552923,35641.14606474,31676.69373254,593.62757588655,52.80903859379
"Bitcoin","BTC",2017-12-26,33292.45476399,28893.62165844,31622.37708528,32505.6598245,609.18063938988,58.9643530583
"Bitcoin","BTC",2017-12-27,34753.40850285,31772.63235532,32515.71430319,33723.0289781,632.01127843638,46.31710892469
"Bitcoin","BTC",2017-12-28,35228.85261084,32385.21469567,33682.80040376,34662.43589358,649.64399744137,33.12336811618
